category_id,likes,dislikes,comments_disabled,ratings_disabled,is_weekend
27,-0.1600610920198549,-0.33767643865363733,1,0,0
25,-0.23085147002672776,-0.2671009771986971,0,0,0
24,1.605192821687667,2.8925081433224755,0,0,0
24,1.3982436044291715,4.623235613463627,0,0,0
23,0.7794578083237877,-0.031487513572204126,0,0,1
28,5.663153875525009,1.5418023887079262,0,0,0
1,0.24604810996563573,0.09554831704668838,0,0,1
23,29.273615883925164,15.85884907709012,0,0,0
24,3.6165712103856436,0.011943539630836048,0,0,1
27,0.002367315769377625,-0.28555917480998916,0,0,0
17,1.3272241313478428,3.6036916395222582,0,0,0
24,-0.1988545246277205,-0.23561346362649294,0,0,1
17,-0.11332569683085147,-0.1997828447339848,0,0,0
24,-0.22962962962962963,-0.2931596091205212,0,0,0
25,-0.1376097747231768,-0.2290988056460369,0,0,0
24,-0.17472317678503246,-0.12920738327904452,1,0,0
24,-0.007865597556319206,-0.20195439739413681,0,0,1
43,0.21344024436807943,0.758957654723127,0,0,0
24,1.1663993890798015,0.8838219326818675,0,0,0
22,1.487819778541428,1.1976112920738329,0,0,0
25,-0.18052691867124857,-0.07057546145494029,0,0,0
24,-0.2293241695303551,-0.2996742671009772,0,0,1
23,-0.11928216876670485,-0.16612377850162866,0,0,0
24,1.0666666666666667,1.6026058631921825,0,0,0
24,-0.17518136693394426,-0.247557003257329,0,0,1
24,-0.22535318823978617,-0.3474484256243214,0,0,1
24,-0.17800687285223368,-0.32138979370249726,0,0,0
24,0.2706376479572356,-0.13463626492942454,0,0,1
23,-0.17281405116456663,-0.30401737242128124,0,0,0
25,0.0852233676975945,-0.11726384364820847,0,0,1
24,-0.07964872088583429,0.1465798045602606,0,0,1
24,1.4839251622756777,8.775244299674267,0,0,1
27,0.10217640320733104,1.1943539630836049,1,0,0
43,0.03749522718594884,0.44299674267100975,0,0,0
24,-0.145475372279496,-0.2920738327904452,0,0,0
24,1.12401680030546,0.07926167209554831,0,0,0
24,22.09339442535319,9.927252985884907,0,0,0
27,0.273463153875525,-0.08143322475570032,0,0,0
22,0.08995799923634976,-0.05211726384364821,0,0,0
28,3.52065673921344,1.3398479913137893,0,0,0
28,0.3521954944635357,-0.0998914223669924,0,0,0
24,0.03062237495227186,1.0618892508143323,0,0,1
24,29.53249331806033,17.293159609120522,0,0,0
24,-0.20358915616647574,-0.26492942453854507,0,0,0
24,-0.026269568537609776,-0.18132464712269272,0,0,0
25,-0.2360442917143948,-0.3572204125950054,1,1,0
22,3.096754486445208,2.0749185667752443,0,0,1
24,9.125009545628103,4.947882736156352,0,0,1
24,4.436960672012218,0.8718783930510315,0,0,0
22,0.03978617793050783,0.9522258414766558,0,0,0
25,-0.18625429553264605,-0.30618892508143325,0,0,0
25,-0.21680030546009926,-0.3268186753528773,0,0,0
24,0.12966781214203896,-0.048859934853420196,0,0,0
24,-0.2175639557082856,-0.1965255157437568,0,0,0
24,-0.17220313096601755,-0.2899022801302932,0,0,0
24,16.00557464681176,7.827361563517916,0,0,0
1,4.974341351660939,1.5548317046688382,0,0,0
26,-0.14394807178312333,-0.30944625407166126,0,0,0
25,-0.01771668575792287,0.02823018458197611,0,0,0
24,-0.170446735395189,-0.19109663409337677,0,0,0
25,-0.2360442917143948,-0.3572204125950054,0,1,0
26,-0.20007636502481863,-0.28773072747014117,0,0,0
24,1.8931653302787324,1.266015200868621,0,0,0
24,-0.15899198167239403,-0.03257328990228013,1,0,0
22,0.12989690721649486,-0.029315960912052116,0,0,1
27,1.6936998854524628,0.03040173724212812,0,0,0
26,0.424971363115693,0.08469055374592833,0,0,0
24,-0.19381443298969073,-0.31596091205211724,0,0,1
24,-0.08652157311951127,-0.2768729641693811,0,0,0
25,-0.10736922489499809,0.4809989142236699,0,0,1
22,0.011760213822069493,-0.09446254071661238,0,0,0
23,0.02787323405880107,-0.2714440825190011,0,0,1
25,0.003665521191294387,-0.016286644951140065,0,0,0
10,3.5512027491408933,7.184581976112921,0,0,1
20,9.122718594883544,7.255157437567861,0,0,0
27,-0.08484154257350134,-0.31596091205211724,0,0,1
24,0.24681176021382206,-0.035830618892508145,0,0,0
1,-0.06376479572355861,-0.17155266015200868,0,0,0
24,-0.23146239022527682,-0.31596091205211724,0,0,0
10,6.324474990454372,5.488599348534202,0,0,0
